id,year,assets,capex,ltd,ebitda,ppe,sales,ads,rd,bookval,mv,indclass,tobinsQ
2085,1991,1769.538,88.589,195.714,315.768,763.733,1520.104,165.642,49.255,850.3,3449.9,13,4.057273903
2085,1992,1873.689,119.331,277.74,342.275,853.085,1709.086,184.569,53.268,898.18,3239.7,13,3.606960743
2085,1993,2511.928,107.232,320.953,385.465,939.399,1872.184,201.023,57.864,926.83,3029.8,13,3.268992156
2085,1994,2457.731,84.807,289.504,268.036,1007.698,1850.552,210.965,60.421,914.39,1998.35,13,2.185446035
2085,1995,2550.066,95.481,190.974,342.705,1082.75,1932.883,232.473,65.622,929.3,2256.29,13,2.427945766
2085,1996,2603.4,130.3,236.3,298.5,1148.6,1926.8,241.8,75.5,881.9,1939.14,13,2.198820728
2085,1997,2772.9,126.1,510.8,310.5,1175.1,1915.7,235,67.5,818.4,2187.66,13,2.673093842
2085,1998,3491.7,201.5,1281.3,410.4,1412.7,2362.8,253.2,132.7,845,3391.74,13,4.013893491
2085,1999,3273.5,155.9,977,380.5,1032.1,1756.1,181.2,97.6,1351.7,3926.67,13,2.904986314
2085,2000,3085.9,95,763.1,328.6,1064.1,1772.4,179.4,145.3,1199,2162.27,13,1.803394495
2085,2001,2993.5,96.4,703.2,221.5,1150.4,1711.9,150.3,122,1272.2,2016.43,13,1.584994498
2085,2002,2907.8,91.9,656.2,328.8,1240.2,1816.7,165.6,128.4,1274.9,1942.88,13,1.523946976
2085,2003,3006.4,91.5,652,359.8,1343.7,2019.5,186.3,149.9,1314.8,2730.93,13,2.077068756
2085,2004,3022.1,118.9,543.3,404.8,1383.2,2232.3,205.7,162.5,1500.5,3431.79,13,2.287097634
2085,2005,3416.4,116,831.2,450.3,1402.9,2370.8,212.4,177.5,1404.6,3662.46,13,2.607475438
2085,2006,3278.8,107.7,698.3,271.3,1529.3,2311.5,229.1,196.6,1505,2807.54,13,1.865475083
2163,1990,25.149,0.989,8.857,2.793,29.763,37.756,1.904,0,11.07,5.73,44,0.517615176
2163,1991,27.196,1.947,10.552,3.007,32.778,37.1,1.86,0,11.57,7.16,44,0.618841832
2163,1992,27.788,1.487,9.451,3.007,34.396,38.708,2.038,0,12.26,10.03,44,0.818107667
2163,1993,26.999,0.474,7.588,3.947,34.522,41.222,2.196,0,13.24,17.91,44,1.352719033
2163,1994,33.722,1.264,12.883,6.382,54.696,73.264,3.8,0,15.31,38.69,44,2.527106466
2163,1995,36.257,2.156,10.904,9.207,56.859,81.606,4.407,0,15.18,48.8,44,3.214756258
2163,2004,154.254,19.817,6.667,25.728,172.685,218.331,6.7,0,101.14,148.92,44,1.472414475
2163,2005,191.516,25.486,2.5,35.039,193.527,245.553,7.4,0,115.79,215.49,44,1.861041541
2163,2006,204.289,34.572,0,35.702,220.569,272.649,6.7,0,138.26,305,44,2.205988717
2163,2007,241.654,55.136,17.422,34.935,254.863,296.946,7.7,0,154.62,194.49,44,1.257857974
2163,2008,257.127,48.821,33.351,33.546,287.954,305.607,7.8,0,157.56,32.12,44,0.203858847
2163,2009,234.09,17.174,0,26.312,297.097,313.524,6.9,0,142.1,58.38,44,0.410837438
2163,2010,220.882,8.053,5.689,34.435,301.776,327.64,6.8,0,144.51,126.56,44,0.875787143
2163,2011,229.423,10.122,0,30.2,303.394,352.077,7.2,0,172.52,182.55,44,1.058138187
2255,1990,5889.534,112.968,2755.624,696.457,1531.35,4832.264,213.462,87.001,954.82,577.7,21,0.605035504
2255,1991,5532.769,107.667,2625.833,603.738,1520.851,4636.954,194.39,90.349,917.59,1051.64,21,1.146089212
2255,1992,5391.9,184,2108.5,545.7,1570,4779.6,193,95.6,966.3,1512.13,21,1.564865984
2255,1993,5310.6,209.9,2069.2,529.5,1617.6,4882.2,209.3,93,946.8,1655.94,21,1.748986058
2255,1995,5545.3,203.1,1704.5,632.8,1772.2,4766.1,265.1,96.1,1326,3047.29,21,2.298107089
2255,1996,5153.5,196.3,1415.8,662.8,1882.1,4914.4,258.5,101.3,1699.9,2839.25,21,1.670245309
2255,1997,5360.7,203.1,1623.7,703.5,1917.9,4940.5,248,99.1,1849.1,3704.76,21,2.003547672
2255,1998,3852.5,146,1148.9,644.8,1573.7,4559.9,211.2,90.5,853.9,4905.36,21,5.744653941
2255,1999,4012.7,171.1,847.1,696.3,1559.2,4520.5,223.7,91,1044.9,4555.68,21,4.35991961
2255,2000,4089.7,200.2,798.5,685.7,1593,4560.8,237.8,95.3,913.4,3153.46,21,3.452441428
2255,2001,4014.2,134.8,1191.4,507,1464.6,4333.1,222.2,98.9,1012.1,3011.99,21,2.975980634
2255,2002,4130.5,96.6,927.6,548.6,1597.7,4394,134.7,96.9,810.9,3414.26,21,4.210457516
2255,2003,4222.5,102.5,1118.2,593.7,1553.4,4482.7,154,100.4,1026.3,3843.66,21,3.745162233
2255,2004,5530.8,117.8,1200.6,771.7,1761.7,5398.4,174.9,118.6,1729.8,7251.45,21,4.192074228
